sample_id,score,score_before,status
LA_D_1000752,17.149227142333984,17.14924430847168,ok
LA_D_1001095,18.22490692138672,18.22501564025879,ok
LA_D_1002626,17.84870147705078,17.85240364074707,ok
LA_D_1003797,11.14424991607666,11.144251823425293,ok
LA_D_1004406,12.521368980407715,12.521462440490723,ok
LA_D_1004774,15.15327262878418,15.154146194458008,ok
LA_D_1005471,16.669082641601562,16.67106819152832,ok
LA_D_1006586,12.370664596557617,12.370701789855957,ok
LA_D_1007975,16.30647850036621,16.306955337524414,ok
LA_D_1008673,16.509920120239258,16.50992774963379,ok
LA_D_1008834,4.258518695831299,4.258453369140625,ok
LA_D_1010205,18.178071975708008,18.178455352783203,ok
LA_D_1011897,8.420510292053223,8.420750617980957,ok
LA_D_1012999,15.103506088256836,15.103781700134277,ok
LA_D_1013553,17.787216186523438,17.787458419799805,ok
LA_D_1013596,14.31967830657959,14.321237564086914,ok
LA_D_1013783,13.246644973754883,13.248013496398926,ok
LA_D_1013810,9.316512107849121,9.316515922546387,ok
LA_D_1016296,12.420902252197266,12.42104721069336,ok
LA_D_1016922,17.218477249145508,17.2188663482666,ok
LA_D_1018598,10.3479585647583,10.34887981414795,ok
LA_D_1020087,11.75553035736084,11.758955955505371,ok
LA_D_1021287,17.791805267333984,17.79640769958496,ok
LA_D_1024033,14.053627014160156,14.053730964660645,ok
LA_D_1024326,13.66836929321289,13.669021606445312,ok
LA_D_1024541,10.004256248474121,10.004532814025879,ok
LA_D_1025356,8.468754768371582,8.468756675720215,ok
LA_D_1025927,12.110906600952148,12.112359046936035,ok
LA_D_1026545,11.33732795715332,11.337446212768555,ok
LA_D_1026868,-15.253039360046387,-15.256339073181152,ok
LA_D_1027036,13.934024810791016,13.934157371520996,ok
LA_D_1027039,7.804441452026367,7.8049540519714355,ok
LA_D_1028482,11.192290306091309,11.192694664001465,ok
LA_D_1029401,15.570760726928711,15.571846961975098,ok
LA_D_1029623,12.038198471069336,12.038634300231934,ok
LA_D_1029785,18.996906280517578,18.998584747314453,ok
LA_D_1030270,17.88242530822754,17.883766174316406,ok
LA_D_1030640,17.034435272216797,17.03963851928711,ok
LA_D_1031151,17.61730194091797,17.61789894104004,ok
LA_D_1031999,18.579574584960938,18.579992294311523,ok
LA_D_1032197,14.289031028747559,14.289200782775879,ok
LA_D_1032757,11.792076110839844,11.792060852050781,ok
LA_D_1033225,13.015310287475586,13.015423774719238,ok
LA_D_1034329,12.132115364074707,12.132346153259277,ok
LA_D_1035474,16.811372756958008,16.814390182495117,ok
LA_D_1035695,15.896012306213379,15.89665699005127,ok
LA_D_1035911,13.632233619689941,13.633045196533203,ok
LA_D_1036594,8.6604642868042,8.660126686096191,ok
LA_D_1036986,10.351448059082031,10.35146427154541,ok
LA_D_1038888,13.181596755981445,13.18172550201416,ok
LA_D_1039057,16.35250473022461,16.352922439575195,ok
LA_D_1039305,14.150379180908203,14.15041732788086,ok
LA_D_1039528,13.033262252807617,13.036442756652832,ok
LA_D_1041845,17.13146209716797,17.13187599182129,ok
LA_D_1042553,17.71068572998047,17.71312141418457,ok
LA_D_1043824,13.281294822692871,13.282238960266113,ok
LA_D_1044414,4.176209449768066,4.176223278045654,ok
LA_D_1044924,10.844414710998535,10.8444242477417,ok
LA_D_1046296,16.10870361328125,16.108720779418945,ok
LA_D_1048234,18.998273849487305,18.999584197998047,ok
LA_D_1049366,12.761492729187012,12.76229476928711,ok
LA_D_1050286,13.917458534240723,13.917381286621094,ok
LA_D_1050709,14.982717514038086,14.982995986938477,ok
LA_D_1051032,14.98245620727539,14.98344898223877,ok
LA_D_1053530,15.06772518157959,15.068269729614258,ok
LA_D_1054205,13.4901704788208,13.490626335144043,ok
LA_D_1054239,13.339044570922852,13.340431213378906,ok
LA_D_1054756,9.752934455871582,9.752970695495605,ok
LA_D_1055238,10.834643363952637,10.834656715393066,ok
LA_D_1055758,14.961173057556152,14.961773872375488,ok
LA_D_1056838,14.505477905273438,14.50565242767334,ok
LA_D_1056844,14.523463249206543,14.524682998657227,ok
LA_D_1057680,15.084467887878418,15.08508014678955,ok
LA_D_1058167,15.780136108398438,15.782773971557617,ok
LA_D_1058697,11.400163650512695,11.401300430297852,ok
LA_D_1058790,10.465081214904785,10.465080261230469,ok
LA_D_1059373,15.602869033813477,15.603156089782715,ok
LA_D_1060354,16.715450286865234,16.716779708862305,ok
LA_D_1060968,-14.163705825805664,-14.16535472869873,ok
LA_D_1060987,15.081686973571777,15.084105491638184,ok
LA_D_1061499,6.235747337341309,6.235745429992676,ok
LA_D_1063236,14.519516944885254,14.52198314666748,ok
LA_D_1063280,13.832558631896973,13.835619926452637,ok
LA_D_1063719,12.105647087097168,12.105759620666504,ok
LA_D_1064949,13.95337963104248,13.954194068908691,ok
LA_D_1065306,13.286920547485352,13.287110328674316,ok
LA_D_1066396,11.884322166442871,11.885754585266113,ok
LA_D_1068250,12.99711799621582,12.998154640197754,ok
LA_D_1069983,12.08837890625,12.08871841430664,ok
LA_D_1070584,13.884878158569336,13.88492488861084,ok
